key,Year,Month,Day,TransactionID,Date,Amount,Class
70120151,2015,7,1,1,7/1/2015,$20.00 ,Withdrawal
70720152,2015,7,7,2,7/7/2015,$22.00 ,Food
70520153,2015,7,5,3,7/5/2015,$9.35 ,Food
70420154,2015,7,4,4,7/4/2015,$81.16 ,Groceries
71120155,2015,7,11,5,7/11/2015,$87.36 ,see Journal Entry
71120156,2015,7,11,6,7/11/2015,$10.81 ,Social
71020157,2015,7,10,7,7/10/2015,$6.26 ,Social
70920158,2015,7,9,8,7/9/2015,$7.00 ,Food
71120159,2015,7,11,9,7/11/2015,$4.14 ,Necessities
710201510,2015,7,10,10,7/10/2015,$7.00 ,Social
710201511,2015,7,10,11,7/10/2015,$3.00 ,Food
711201512,2015,7,11,12,7/11/2015,$5.22 ,Food
715201513,2015,7,15,13,7/15/2015,$28.00 ,see Journal Entry
713201514,2015,7,13,14,7/13/2015,$7.24 ,Food
715201515,2015,7,15,15,7/15/2015,$6.56 ,Food
701201516,2015,7,1,16,7/1/2015,$70.00 ,Parking Garage
714201517,2015,7,14,17,7/14/2015,$20.00 ,Withdrawal
717201518,2015,7,17,18,7/17/2015,$1.58 ,Food
717201519,2015,7,17,19,7/17/2015,$9.56 ,Social
718201520,2015,7,18,20,7/18/2015,$64.27 ,Groceries
721201521,2015,7,21,21,7/21/2015,$28.51 ,see Journal Entry
719201522,2015,7,19,22,7/19/2015,$8.67 ,Food
721201523,2015,7,21,23,7/21/2015,$7.74 ,Social
721201524,2015,7,21,24,7/21/2015,$30.00 ,Gas
722201525,2015,7,22,25,7/22/2015,$20.00 ,Necessities
723201526,2015,7,23,26,7/23/2015,$31.79 ,Big Skyy
726201527,2015,7,26,27,7/26/2015,$74.34 ,Groceries
725201528,2015,7,25,28,7/25/2015,$3.78 ,Social
725201529,2015,7,25,29,7/25/2015,$2.99 ,Social
725201530,2015,7,25,30,7/25/2015,$6.19 ,Groceries
726201531,2015,7,26,31,7/26/2015,$8.97 ,Netflix
731201532,2015,7,31,32,7/31/2015,$59.97 ,Eversource - Electric
725201533,2015,7,25,33,7/25/2015,$8.67 ,Food
728201534,2015,7,28,34,7/28/2015,$5.32 ,Food
731201535,2015,7,31,35,7/31/2015,$6.92 ,Food
730201536,2015,7,30,36,7/30/2015,$57.00 ,Food
731201537,2015,7,31,37,7/31/2015,$7.00 ,Social
811201538,2015,8,11,38,8/11/2015,($21.23),Variances
803201539,2015,8,3,39,8/3/2015,$50.63 ,Xfinity - Internet
73120151,2015,7,31,1,7/31/2015, $-   ,Withdrawal
80120152,2015,8,1,2,8/1/2015,$12.27 ,Social
73120153,2015,7,31,3,7/31/2015,$38.97 ,Social
80320154,2015,8,3,4,8/3/2015,$7.24 ,Food
80520155,2015,8,5,5,8/5/2015,$30.00 ,Necessities
80520156,2015,8,5,6,8/5/2015,$100.49 ,Groceries
80420157,2015,8,4,7,8/4/2015,$2.33 ,Food
80320158,2015,8,3,8,8/3/2015,$9.56 ,Food
80720159,2015,8,7,9,8/7/2015,$9.28 ,Groceries
803201510,2015,8,3,10,8/3/2015,$70.00 ,Parking Garage
808201511,2015,8,8,11,8/8/2015,$5.32 ,Food
814201512,2015,8,14,12,8/14/2015, $-   ,Withdrawal
817201513,2015,8,17,13,8/17/2015,$74.19 ,Groceries
818201514,2015,8,18,14,8/18/2015,$4.24 ,Necessities
814201515,2015,8,14,15,8/14/2015,$15.15 ,Food
809201516,2015,8,9,16,8/9/2015,$8.67 ,Food
809201517,2015,8,9,17,8/9/2015,$20.00 ,Withdrawal
816201518,2015,8,16,18,8/16/2015,$28.00 ,Social
815201519,2015,8,15,19,8/15/2015,$41.00 ,Social
813201520,2015,8,13,20,8/13/2015,$4.25 ,Social
815201521,2015,8,15,21,8/15/2015,$14.48 ,Social
816201522,2015,8,16,22,8/16/2015,$10.00 ,Social
816201523,2015,8,16,23,8/16/2015,$21.00 ,Social
815201524,2015,8,15,24,8/15/2015,$6.46 ,Food
901201525,2015,9,1,25,9/1/2015,$53.70 ,Eversource - Electric
901201526,2015,9,1,26,9/1/2015,$50.63 ,Xfinity - Internet
828201527,2015,8,28,27,8/28/2015, $-   ,Withdrawal
828201528,2015,8,28,28,8/28/2015,$8.11 ,Food
826201529,2015,8,26,29,8/26/2015,$5.94 ,Food
823201530,2015,8,23,30,8/23/2015,$52.07 ,Groceries
827201531,2015,8,27,31,8/27/2015,$32.00 ,Necessities
826201532,2015,8,26,32,8/26/2015,$12.00 ,Food
828201533,2015,8,28,33,8/28/2015,$3.52 ,Social
828201534,2015,8,28,34,8/28/2015,$21.25 ,Social
